PROBLEM,ANSWER
,0,1,2,3,4,5,6,7,8,9,10,11,OTHER
1 + 1 = ,0.0,0.225,0.475,0.0,0.0,0.0,0.275,0.0,0.025,0.0,0.0,0.0,0.0
1 + 2 = ,0.0,0.0,0.6764705882352942,0.3235294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 + 3 = ,0.0,0.13333333333333333,0.24444444444444444,0.4,0.17777777777777778,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0
1 + 4 = ,0.0,0.037037037037037035,0.14814814814814814,0.0,0.37037037037037035,0.25925925925925924,0.14814814814814814,0.0,0.0,0.037037037037037035,0.0,0.0,0.0
1 + 5 = ,0.0,0.1111111111111111,0.0,0.4222222222222222,0.15555555555555556,0.28888888888888886,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0
2 + 1 = ,0.0,0.0,0.47619047619047616,0.4523809523809524,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 + 2 = ,0.0,0.0,0.5319148936170213,0.3191489361702128,0.14893617021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 + 3 = ,0.0,0.0,0.0,0.7297297297297297,0.0,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 + 4 = ,0.0,0.0,0.0,0.3695652173913043,0.2826086956521739,0.0,0.32608695652173914,0.0,0.0,0.021739130434782608,0.0,0.0,0.0
2 + 5 = ,0.0,0.0,0.0,0.3611111111111111,0.5,0.1111111111111111,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0
3 + 1 = ,0.0,0.0,0.07692307692307693,0.0,0.20512820512820512,0.0,0.48717948717948717,0.05128205128205128,0.1794871794871795,0.0,0.0,0.0,0.0
3 + 2 = ,0.0,0.0,0.18421052631578946,0.0,0.0,0.34210526315789475,0.0,0.2894736842105263,0.05263157894736842,0.0,0.13157894736842105,0.0,0.0
3 + 3 = ,0.0,0.0,0.02857142857142857,0.17142857142857143,0.2571428571428571,0.14285714285714285,0.2857142857142857,0.08571428571428572,0.0,0.0,0.02857142857142857,0.0,0.0
3 + 4 = ,0.0,0.0,0.0,0.0,0.7837837837837838,0.0,0.0,0.21621621621621623,0.0,0.0,0.0,0.0,0.0
3 + 5 = ,0.0,0.0,0.0,0.0,0.6170212765957447,0.2765957446808511,0.0,0.0,0.10638297872340426,0.0,0.0,0.0,0.0
4 + 1 = ,0.0,0.0,0.15789473684210525,0.0,0.0,0.2631578947368421,0.05263157894736842,0.15789473684210525,0.23684210526315788,0.0,0.13157894736842105,0.0,0.0
4 + 2 = ,0.0,0.0,0.14634146341463414,0.0,0.0,0.3170731707317073,0.21951219512195122,0.04878048780487805,0.17073170731707318,0.0,0.0975609756097561,0.0,0.0
4 + 3 = ,0.0,0.02564102564102564,0.0,0.28205128205128205,0.0,0.23076923076923078,0.07692307692307693,0.10256410256410256,0.15384615384615385,0.0,0.1282051282051282,0.0,0.0
4 + 4 = ,0.0,0.07017543859649122,0.0,0.03508771929824561,0.14035087719298245,0.38596491228070173,0.05263157894736842,0.0,0.2982456140350877,0.0,0.017543859649122806,0.0,0.0
4 + 5 = ,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
5 + 1 = ,0.0,0.29411764705882354,0.11764705882352941,0.0,0.0,0.0,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.0,0.17647058823529413,0.0,0.0
5 + 2 = ,0.0,0.08695652173913043,0.13043478260869565,0.0,0.0,0.17391304347826086,0.08695652173913043,0.1956521739130435,0.1956521739130435,0.0,0.13043478260869565,0.0,0.0
5 + 3 = ,0.0,0.15151515151515152,0.24242424242424243,0.18181818181818182,0.0,0.0,0.12121212121212122,0.06060606060606061,0.18181818181818182,0.030303030303030304,0.030303030303030304,0.0,0.0
5 + 4 = ,0.0,0.19444444444444445,0.08333333333333333,0.0,0.3888888888888889,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
5 + 5 = ,0.0,0.2807017543859649,0.15789473684210525,0.0,0.0,0.2807017543859649,0.07017543859649122,0.0,0.0,0.0,0.21052631578947367,0.0,0.0
