file,INITIAL_COUNTING_NETWORK_BURN_IN_EPOCHS,INITIAL_COUNTING_NETWORK_LEARNING_RATE,SNS84,BASE-P/R/C,ADULT
_20150902123807_,2500,0.1,0.77129346,-0.08871283,0.99208874
_20150902124324_,2500,0.1,0.77037597,-0.10222425,0.9899389
_20150902124046_,2500,0.1,0.7516614,-0.06723899,0.97965527
_20150902123837_,5000,0.01,0.7519234,-0.11592177,0.9746021
_20150902124353_,5000,0.01,0.75540066,-0.08108244,0.97614866
_20150902124115_,5000,0.01,0.7423851,-0.101293616,0.9646815
_20150902131555_,5000,0.75,0.15205559,-0.056294315,0.2666969
_20150902131402_,5000,0.75,0.19363202,0.2464077,0.047996525
_20150902131203_,5000,0.75,0.28970936,0.1738718,0.18102631
_20150902131025_,100,0.5,0.66537553,-0.08700631,0.8763566
_20150902131421_,100,0.5,0.46621636,-0.08108059,0.59733814
_20150902131222_,100,0.5,0.7499024,-0.109020464,0.8932878
_20150902124424_,5000,1.0,0.21839562,0.012399524,0.14241378
_20150902123908_,5000,1.0,0.26975012,0.23060153,0.18269055
_20150902124146_,5000,1.0,0.034134455,-0.17130473,0.16078186
_20150902123947_,100,1.0,0.35397315,-0.08643659,0.32737023
_20150902123706_,100,1.0,0.29796293,0.31812721,0.21000041
_20150902124225_,100,1.0,0.167985,0.30185497,0.12669943
_20150902124026_,1000,1.0,0.1194029,-0.18422851,0.13314427
_20150902123747_,1000,1.0,0.0077871075,0.08701237,0.03328152
_20150902124304_,1000,1.0,0.24334902,0.08841363,0.12811095
_20150902131144_,5000,0.25,0.7735174,-0.09336818,0.99771935
_20150902131536_,5000,0.25,0.76848215,-0.09518594,0.9941181
_20150902131342_,5000,0.25,0.7711621,-0.092902265,0.9968342
_20150902124135_,5000,0.25,0.76722556,-0.09712309,0.99544364
_20150902124414_,5000,0.25,0.7657734,-0.093103915,0.9960304
_20150902123858_,5000,0.25,0.7765035,-0.0915878,0.9974322
_20150902131517_,2500,0.5,0.77732456,-0.085963055,0.9973941
_20150902131124_,2500,0.5,0.7712434,-0.092162125,0.9975168
_20150902131322_,2500,0.5,0.5620286,-0.07318988,0.6223062
_20150902131449_,1000,0.5,0.77525306,-0.08958833,0.9984287
_20150902131053_,1000,0.5,0.7745326,-0.09683882,0.99816924
_20150902131252_,1000,0.5,0.7690644,-0.11530406,0.9957736
_20150902124404_,5000,0.1,0.76352054,-0.09390052,0.99217784
_20150902124125_,5000,0.1,0.7675607,-0.0965699,0.9901636
_20150902123848_,5000,0.1,0.76546735,-0.090580955,0.98589647
_20150902131044_,1000,0.25,0.77367973,-0.101787485,0.9977825
_20150902123738_,1000,0.25,0.77545136,-0.094914205,0.99571425
_20150902124254_,1000,0.25,0.77084327,-0.08855694,0.997763
_20150902131241_,1000,0.25,0.7720975,-0.09675416,0.9969211
_20150902124016_,1000,0.25,0.77143633,-0.09756625,0.99758697
_20150902131440_,1000,0.25,0.771945,-0.10107958,0.99792683
_20150902124344_,2500,1.0,0.15158376,-0.0559526,0.16403295
_20150902124105_,2500,1.0,0.28904068,0.07854675,0.24062796
_20150902123827_,2500,1.0,0.22459151,0.17556876,0.109788395
_20150902123646_,100,0.1,0.74969745,-0.069608755,0.98340386
_20150902123928_,100,0.1,0.7605642,-0.1306113,0.9734934
_20150902124206_,100,0.1,0.7560626,-0.12645881,0.97492826
_20150902131458_,1000,0.75,0.28048366,-0.16375321,0.2392518
_20150902131103_,1000,0.75,0.2698953,0.017056571,0.21453862
_20150902131302_,1000,0.75,0.43498826,-0.17615885,0.6271996
_20150902131545_,5000,0.5,0.77329737,-0.093817465,0.9981895
_20150902131153_,5000,0.5,0.7783471,-0.100290254,0.99716157
_20150902131352_,5000,0.5,0.77448124,-0.09812096,0.9973564
_20150902123817_,2500,0.25,0.7762174,-0.08928474,0.9970362
_20150902131312_,2500,0.25,0.77333415,-0.10100121,0.99610394
_20150902131114_,2500,0.25,0.7703279,-0.09672593,0.9970493
_20150902124056_,2500,0.25,0.77125996,-0.11298267,0.99486303
_20150902131507_,2500,0.25,0.7715458,-0.094128445,0.9974869
_20150902124334_,2500,0.25,0.76540077,-0.100215584,0.996233
_20150902124156_,100,0.01,0.74790895,-0.12696546,0.96721864
_20150902123636_,100,0.01,0.7606529,-0.1600539,0.97831845
_20150902123918_,100,0.01,0.76163965,-0.1500197,0.9702647
_20150902123757_,2500,0.01,0.74325997,-0.10875268,0.97295004
_20150902124314_,2500,0.01,0.74733424,-0.10410992,0.97324836
_20150902124036_,2500,0.01,0.7604339,-0.12755296,0.9717802
_20150902131412_,100,0.25,0.7756853,-0.10513378,0.99207747
_20150902123937_,100,0.25,0.76403946,-0.08061503,0.99062324
_20150902131213_,100,0.25,0.76199937,-0.08434384,0.98789585
_20150902131016_,100,0.25,0.7614423,-0.107941374,0.98927695
_20150902123656_,100,0.25,0.76618093,-0.1006997,0.9878628
_20150902124215_,100,0.25,0.7757877,-0.073103055,0.97843266
_20150902131231_,100,0.75,0.7396681,-0.09374894,0.95533913
_20150902131431_,100,0.75,0.36685848,0.12614895,0.40711087
_20150902131034_,100,0.75,0.28885987,-0.016667828,0.34565338
