# NIL
file,PERR,LEARNING_RATE,IN_PROCESS_TRAINING_EPOCHS,SNS84,BASE-P/R/C,ADULT
_20150901085754_,0.1,0.01,25,0.76925296,-0.09181645,0.99229175
_20150901084538_,0.1,0.01,25,0.7662916,-0.095516756,0.99007803
_20150901091012_,0.1,0.01,25,0.77347225,-0.074653864,0.991894
_20150901085001_,0.25,0.01,100,0.7753307,-0.10103971,0.996053
_20150901090216_,0.25,0.01,100,0.7688078,-0.09063351,0.99497426
_20150901091429_,0.25,0.01,100,0.7730853,-0.10474703,0.99537265
_20150901085932_,0.1,0.1,100,0.76564497,-0.09326196,0.98807144
_20150901084717_,0.1,0.1,100,0.7710975,-0.089135095,0.9894843
_20150901091149_,0.1,0.1,100,0.7581236,-0.106003635,0.981526
_20150901085649_,0.1,0.001,100,0.77095634,-0.08729358,0.99313617
_20150901084433_,0.1,0.001,100,0.76599896,-0.09357671,0.9900252
_20150901090907_,0.1,0.001,100,0.75624824,-0.08069308,0.98201966
_20150901085745_,0.1,0.01,10,0.77137876,-0.070045084,0.99049413
_20150901091002_,0.1,0.01,10,0.7700611,-0.09918771,0.9856616
_20150901084529_,0.1,0.01,10,0.77713907,-0.09933161,0.9830375
_20150901084523_,0.1,0.01,1,0.67976975,-0.07992417,0.8107571
_20150901085739_,0.1,0.01,1,0.64898217,-0.15910064,0.7953792
_20150901090957_,0.1,0.01,1,0.67581844,-0.16692291,0.8318068
_20150901090322_,0.25,0.1,25,0.76424915,-0.099002816,0.9868479
_20150901085106_,0.25,0.1,25,0.77996874,-0.101475425,0.99029684
_20150901091535_,0.25,0.1,25,0.77959406,-0.09822766,0.99013996
_20150901090746_,0.0,0.1,100,0.7666304,-0.09360266,0.989643
_20150901085527_,0.0,0.1,100,0.74784076,-0.09320769,0.9861263
_20150901084311_,0.0,0.1,100,0.7701387,-0.09745278,0.99218917
_20150901090552_,0.0,0.01,1,0.69597465,-0.122103594,0.8451644
_20150901084116_,0.0,0.01,1,0.6461882,-0.080922306,0.8095273
_20150901085334_,0.0,0.01,1,0.6515725,-0.17279588,0.7891218
_20150901084839_,0.25,0.001,100,0.77070946,-0.08796793,0.99288726
_20150901091311_,0.25,0.001,100,0.7587685,-0.096041955,0.9909538
_20150901090054_,0.25,0.001,100,0.7633608,-0.10367163,0.9856366
_20150901085617_,0.1,0.001,1,0.43916252,-0.14324394,0.3355876
_20150901084401_,0.1,0.001,1,0.4078469,-0.15193209,0.24752782
_20150901090835_,0.1,0.001,1,0.38908365,-0.043363333,0.3127867
