# 201509291500: Land Demo
file,PERR,LEARNING_RATE,SNS84,BASE-P/R/C,ADULT
_20150929151252_,0.7,0.01,0.61345357,-0.10777922,0.7677533
_20150929151240_,0.7,0.01,0.636468,-0.20298922,0.73214155
_20150929151228_,0.7,0.01,0.6376885,-0.17121403,0.7391766
_20150929151232_,0.1,0.01,0.64325887,-0.1633499,0.7567975
_20150929151219_,0.1,0.01,0.6241043,-0.11607179,0.74748397
_20150929151244_,0.1,0.01,0.60327613,-0.1289047,0.74332833
_20150929151250_,0.5,0.1,0.5923383,-0.08904867,0.7089487
_20150929151238_,0.5,0.1,0.55691904,-0.084908165,0.69327146
_20150929151226_,0.5,0.1,0.6732984,-0.11616773,0.76187474
_20150929151248_,0.5,0.01,0.6643355,-0.21263774,0.76039356
_20150929151223_,0.5,0.01,0.6570383,-0.13826819,0.7375172
_20150929151236_,0.5,0.01,0.6068121,-0.13351141,0.7767376
_20150929151221_,0.1,0.1,0.63215446,-0.1475436,0.7907015
_20150929151246_,0.1,0.1,0.49930704,-0.08986465,0.6836048
_20150929151234_,0.1,0.1,0.52008975,-0.12040227,0.66225153
_20150929151230_,0.7,0.1,0.65948874,-0.0944529,0.80929816
_20150929151242_,0.7,0.1,0.5289335,-0.14196686,0.7204622
_20150929151254_,0.7,0.1,0.62405354,-0.13502835,0.7729083
