# 20151019b: Exploring distributed rep of inputs longer
file,INITIAL_COUNTING_NETWORK_BURN_IN_EPOCHS,ADDEND_MATRIX_OFFBY1_DELTA,SNS84,BASE-P/R/C,ADULT
_20151019083004_,1000,0.5,0.7413882,-0.11917228,0.9519726
_20151019082802_,1000,0.5,0.75172395,-0.09267475,0.9683871
_20151019083206_,1000,0.5,0.7664946,-0.101826824,0.96067935
_20151019082954_,1000,0,0.7544407,-0.092558905,0.9741877
_20151019082752_,1000,0,0.75897104,-0.09578005,0.9819972
_20151019083156_,1000,0,0.7560353,-0.12013749,0.9709344
_20151019082823_,0,0,0.74888355,-0.08650665,0.9741301
_20151019082621_,0,0,0.75228465,-0.11062538,0.96925294
_20151019083024_,0,0,0.75695276,-0.10811151,0.98303926
_20151019082742_,500,1.0,0.766716,-0.102900796,0.9918312
_20151019083146_,500,1.0,0.76986504,-0.092897125,0.9930516
_20151019082943_,500,1.0,0.7672534,-0.08321382,0.9912041
_20151019083135_,500,0.5,0.7591684,-0.11382758,0.9497136
_20151019082732_,500,0.5,0.7569454,-0.10059403,0.9539622
_20151019082933_,500,0.5,0.74393994,-0.115436606,0.9528775
_20151019082722_,500,0,0.76047206,-0.09521704,0.9772206
_20151019082923_,500,0,0.7676529,-0.120153114,0.9815324
_20151019083125_,500,0,0.7603048,-0.08522797,0.9751325
_20151019083216_,1000,1.0,0.7726623,-0.10070553,0.99234504
_20151019083014_,1000,1.0,0.7659434,-0.10345437,0.9904095
_20151019082812_,1000,1.0,0.7714442,-0.1051581,0.99185884
_20151019083044_,0,1.0,0.7720541,-0.10652059,0.99195266
_20151019082641_,0,1.0,0.7710072,-0.100759774,0.9906344
_20151019082843_,0,1.0,0.7666176,-0.09994827,0.9927291
_20151019082853_,100,0,0.75658953,-0.10275463,0.9692013
_20151019083055_,100,0,0.7511576,-0.0761764,0.9713361
_20151019082652_,100,0,0.75683695,-0.08245948,0.9692546
_20151019083034_,0,0.5,0.75755364,-0.1214366,0.9663469
_20151019082832_,0,0.5,0.75487846,-0.12424658,0.9581811
_20151019082631_,0,0.5,0.727729,-0.1060718,0.93780726
_20151019082903_,100,0.5,0.7791877,-0.12214673,0.9741267
_20151019083105_,100,0.5,0.7458386,-0.09474749,0.9438406
_20151019082702_,100,0.5,0.75575405,-0.12515171,0.95588833
_20151019082712_,100,1.0,0.75875354,-0.091517836,0.99093115
_20151019083115_,100,1.0,0.7635136,-0.0979271,0.9898069
_20151019082913_,100,1.0,0.77235293,-0.09800178,0.988181
