file,STRATEGY_HIDDEN_UNITS,RESULTS_HIDDEN_UNITS,PERR,SNS84,BASE-P/R/C,ADULT
_20151214144655_,25,15,0.4,0.6584584,-0.14623035,0.91473097
_20151214144159_,25,15,0.4,0.62564707,-0.15410244,0.8004
_20151214143655_,25,15,0.4,0.49722254,-0.20701747,0.68924284
_20151214143556_,20,20,0.6,0.75092316,-0.110898085,0.9694269
_20151214144554_,20,20,0.6,0.4281406,-0.22174786,0.67431736
_20151214144055_,20,20,0.6,0.7409202,-0.115000874,0.9563703
_20151214144335_,15,15,0.4,0.66574806,-0.110998325,0.8454654
_20151214143830_,15,15,0.4,0.44185627,-0.121447496,0.6808324
_20151214143332_,15,15,0.4,0.7573585,-0.11815985,0.95158637
_20151214144715_,25,20,0.2,0.74218214,-0.09912948,0.96648675
_20151214143720_,25,20,0.2,0.65905803,-0.054557692,0.8277943
_20151214144223_,25,20,0.2,0.6139971,-0.10668803,0.7987994
_20151214144430_,20,10,0.2,0.49314207,-0.060254022,0.6904595
_20151214143930_,20,10,0.2,0.5409703,-0.15701714,0.73427415
_20151214143424_,20,10,0.2,0.44243395,-0.016635349,0.63458115
_20151214144120_,25,10,0.4,0.47348958,-0.07991321,0.62354064
_20151214143621_,25,10,0.4,0.5166372,-0.076073855,0.6901775
_20151214144621_,25,10,0.4,0.3513396,-0.14643921,0.55148053
_20151214143751_,15,10,0.2,0.58528954,-0.04944088,0.7803709
_20151214144256_,15,10,0.2,0.3394224,0.004035467,0.60993916
_20151214143252_,15,10,0.2,0.52104086,-0.09008575,0.7494314
_20151214144047_,20,20,0.4,0.71201843,-0.116449445,0.93440086
_20151214143546_,20,20,0.4,0.49402076,-0.1361092,0.7185593
_20151214144546_,20,20,0.4,0.5008035,-0.03193824,0.72767276
_20151214143805_,15,10,0.6,0.41101518,-0.20246793,0.58166844
_20151214144314_,15,10,0.6,0.56997323,0.006366963,0.71608007
_20151214143308_,15,10,0.6,0.48767158,-0.2891093,0.64712495
_20151214144505_,20,15,0.2,0.62426,-0.07688878,0.8424611
_20151214143503_,20,15,0.2,0.46680033,-0.15664923,0.719154
_20151214144006_,20,15,0.2,0.4979633,-0.052657526,0.6945554
_20151214143403_,15,20,0.4,0.7492089,-0.09780859,0.96177596
_20151214143905_,15,20,0.4,0.50624365,-0.059197485,0.74668896
_20151214144404_,15,20,0.4,0.45073673,-0.052126557,0.6558945
_20151214144022_,20,15,0.6,0.7299703,-0.08237098,0.9431954
_20151214144523_,20,15,0.6,0.49301863,-0.17274746,0.71577287
_20151214143520_,20,15,0.6,0.50685716,-0.2614076,0.68008417
_20151214144604_,25,10,0.1,0.5716236,-0.15861717,0.78237635
_20151214144102_,25,10,0.1,0.5909529,-0.12617263,0.81648517
_20151214143603_,25,10,0.1,0.48067722,-0.13303988,0.6544885
_20151214144306_,15,10,0.4,0.51107305,-0.21374917,0.70505863
_20151214143300_,15,10,0.4,0.5907833,-0.18458894,0.7983182
_20151214143758_,15,10,0.4,0.48779747,-0.05963345,0.64719796
_20151214144028_,20,20,0.1,0.57047033,-0.015772179,0.7794841
_20151214143528_,20,20,0.1,0.67488676,-0.085027605,0.87823546
_20151214144533_,20,20,0.1,0.75767446,-0.12291947,0.9487851
_20151214143444_,20,10,0.6,0.3736326,-0.2495409,0.5835836
_20151214144448_,20,10,0.6,0.48399353,-0.19484574,0.6785422
_20151214143947_,20,10,0.6,0.41328543,-0.15022947,0.5201416
_20151214143849_,15,20,0.1,0.5788305,-0.079805836,0.801582
_20151214144349_,15,20,0.1,0.7131916,-0.12207721,0.93570673
_20151214143350_,15,20,0.1,0.7296991,-0.107499436,0.94707876
_20151214144139_,25,15,0.1,0.63156956,-0.032047324,0.822423
_20151214144641_,25,15,0.1,0.6885909,-0.020627264,0.87671995
_20151214143638_,25,15,0.1,0.56121874,-0.109461576,0.8248942
_20151214143714_,25,20,0.1,0.7574978,-0.10213019,0.96419215
_20151214144215_,25,20,0.1,0.7536613,-0.07434592,0.95093
_20151214144708_,25,20,0.1,0.7345025,-0.11880657,0.9494037
_20151214143339_,15,15,0.6,0.4421177,-0.23203799,0.65308565
_20151214144343_,15,15,0.6,0.7380937,-0.12160242,0.945635
_20151214143839_,15,15,0.6,0.44119692,-0.20399293,0.62999564
_20151214143648_,25,15,0.2,0.71854514,-0.05239003,0.93330777
_20151214144149_,25,15,0.2,0.47400692,-0.06286325,0.7207902
_20151214144649_,25,15,0.2,0.7492148,-0.10978479,0.95229715
_20151214143729_,25,20,0.4,0.67755216,-0.18056884,0.8753533
_20151214144722_,25,20,0.4,0.7391718,-0.1289868,0.95490605
_20151214144232_,25,20,0.4,0.65884,-0.1453721,0.8810121
_20151214144513_,20,15,0.4,0.5059843,-0.048667576,0.6964681
_20151214143512_,20,15,0.4,0.7218766,-0.12982778,0.940019
_20151214144016_,20,15,0.4,0.73780936,-0.1045758,0.948337
_20151214144208_,25,15,0.6,0.72713995,-0.11915289,0.95596975
_20151214144701_,25,15,0.6,0.74143165,-0.13610595,0.95148563
_20151214143704_,25,15,0.6,0.4832968,-0.120028935,0.6647827
_20151214143814_,15,15,0.1,0.5510862,-0.081762195,0.81773543
_20151214143317_,15,15,0.1,0.6739895,-0.11504789,0.880897
_20151214144322_,15,15,0.1,0.7301808,-0.10568977,0.90398717
_20151214143612_,25,10,0.2,0.39275625,-0.086878136,0.63421637
_20151214144110_,25,10,0.2,0.33678895,0.05136399,0.62501276
_20151214144613_,25,10,0.2,0.4747087,-0.05502524,0.69522965
_20151214144247_,15,10,0.1,0.6369094,-0.12845962,0.75861996
_20151214143242_,15,10,0.1,0.49050188,-0.15724312,0.6677455
_20151214143743_,15,10,0.1,0.4472218,-0.13446756,0.68369955
_20151214144039_,20,20,0.2,0.6222166,-0.058425814,0.8664213
_20151214143537_,20,20,0.2,0.62728894,-0.06310101,0.826634
_20151214144539_,20,20,0.2,0.65346307,-0.123190776,0.8825963
_20151214144130_,25,10,0.6,0.44154653,-0.20763715,0.61773276
_20151214144631_,25,10,0.6,0.5130045,-0.21469721,0.64859116
_20151214143630_,25,10,0.6,0.44669065,-0.16332221,0.7146935
_20151214143453_,20,15,0.1,0.6167752,-0.12392899,0.8082477
_20151214144458_,20,15,0.1,0.7168366,-0.09559733,0.94363475
_20151214143957_,20,15,0.1,0.6608335,-0.09222191,0.89180404
_20151214144357_,15,20,0.2,0.748945,-0.13459545,0.96079135
_20151214143858_,15,20,0.2,0.7292406,-0.11852912,0.9546391
_20151214143356_,15,20,0.2,0.7591233,-0.11456334,0.97951424
_20151214143434_,20,10,0.4,0.347789,-0.2759088,0.584098
_20151214144439_,20,10,0.4,0.48816708,-0.17400874,0.67017275
_20151214143939_,20,10,0.4,0.5180945,-0.10388453,0.7492603
_20151214143920_,20,10,0.1,0.57610136,-0.07205669,0.77392304
_20151214144421_,20,10,0.1,0.52012664,-0.09023925,0.7486565
_20151214143417_,20,10,0.1,0.610368,-0.0983628,0.7479497
_20151214143914_,15,20,0.6,0.7716595,-0.08922132,0.9544713
_20151214143411_,15,20,0.6,0.7476291,-0.104606345,0.971043
_20151214144414_,15,20,0.6,0.7571508,-0.123569205,0.9517636
_20151214144329_,15,15,0.2,0.7072289,-0.09807424,0.93735135
_20151214143324_,15,15,0.2,0.6419862,-0.10688444,0.8606119
_20151214143824_,15,15,0.2,0.7226079,-0.11438583,0.9393435
_20151214144240_,25,20,0.6,0.6867926,-0.20241912,0.8838546
_20151214143737_,25,20,0.6,0.7519301,-0.09834178,0.9543784
_20151214144728_,25,20,0.6,0.5148201,-0.29774064,0.71601975
