# 20151215a: Trying to confirm 20151214a effect [3000 problems (@500s)] scanning strat HU and perr
file,STRATEGY_HIDDEN_UNITS,PERR,SNS84,BASE-P/R/C,ADULT
_20151215095649_,12,0.1,0.457527,-0.005925609,0.75404084
_20151215094004_,12,0.1,0.6602959,-0.043649446,0.87090117
_20151215093650_,12,0.1,0.6651069,-0.11374711,0.89631796
_20151215095011_,12,0.1,0.6836393,-0.074256435,0.889275
_20151215095323_,12,0.1,0.6446927,-0.08536323,0.8336966
_20151215094324_,12,0.1,0.7520315,-0.08978606,0.9398836
_20151215093324_,12,0.1,0.5959121,-0.09201055,0.81747454
_20151215100335_,12,0.1,0.6456182,-0.07320026,0.8990619
_20151215100022_,12,0.1,0.7340385,-0.12185035,0.94618547
_20151215094640_,12,0.1,0.75819737,-0.12656583,0.9471513
_20151215093423_,15,0.6,0.75068885,-0.113796905,0.96685493
_20151215100127_,15,0.6,0.7308818,-0.109947406,0.95598775
_20151215095417_,15,0.6,0.7228768,-0.19025086,0.9349909
_20151215094102_,15,0.6,0.4461777,-0.22409761,0.63917804
_20151215094733_,15,0.6,0.7554178,-0.09471982,0.96888345
_20151215094424_,15,0.6,0.39052415,-0.08032825,0.6308143
_20151215100441_,15,0.6,0.75066197,-0.090461686,0.9656687
_20151215093751_,15,0.6,0.7385542,-0.103284314,0.9547855
_20151215095112_,15,0.6,0.75742626,-0.11174625,0.97314197
_20151215095752_,15,0.6,0.54359883,-0.21737133,0.73058677
_20151215095802_,18,0.1,0.747079,-0.08774671,0.9571973
_20151215095425_,18,0.1,0.59037054,-0.11152894,0.76183873
_20151215094113_,18,0.1,0.73860466,-0.10334569,0.95531243
_20151215094435_,18,0.1,0.7436796,-0.09630245,0.96487004
_20151215093757_,18,0.1,0.6927785,-0.05470467,0.9022735
_20151215100448_,18,0.1,0.74943584,-0.10309937,0.9618552
_20151215093430_,18,0.1,0.7267297,-0.12525748,0.94191253
_20151215100134_,18,0.1,0.7518379,-0.08516721,0.9547361
_20151215095119_,18,0.1,0.76306,-0.09656571,0.95336944
_20151215094740_,18,0.1,0.7473888,-0.13075478,0.9505309
_20151215094836_,20,0.4,0.75493723,-0.09165952,0.95354044
_20151215094523_,20,0.4,0.5457614,-0.1300538,0.7512906
_20151215100544_,20,0.4,0.7420148,-0.12194271,0.9630554
_20151215095207_,20,0.4,0.74148035,-0.14807056,0.95548517
_20151215095521_,20,0.4,0.67894125,-0.111640714,0.9207116
_20151215095854_,20,0.4,0.70438826,-0.047128577,0.91506827
_20151215100219_,20,0.4,0.5718923,-0.079769574,0.8224348
_20151215093525_,20,0.4,0.5844402,-0.12764327,0.8305175
_20151215094159_,20,0.4,0.75145674,-0.084386304,0.95341974
_20151215093843_,20,0.4,0.7043539,-0.21217285,0.85376465
_20151215095104_,15,0.4,0.7608261,-0.12940434,0.9689896
_20151215094725_,15,0.4,0.7483281,-0.09827276,0.95748085
_20151215100117_,15,0.4,0.4500866,-0.09993444,0.6783149
_20151215093742_,15,0.4,0.55907434,-0.06347247,0.7705296
_20151215093416_,15,0.4,0.60868883,-0.15000525,0.8658837
_20151215094413_,15,0.4,0.46742952,-0.23597911,0.70210123
_20151215095408_,15,0.4,0.46562642,-0.06382332,0.74266064
_20151215095742_,15,0.4,0.48895591,-0.19504327,0.69615746
_20151215094055_,15,0.4,0.7228379,-0.08029619,0.9533746
_20151215100430_,15,0.4,0.3769825,-0.1808061,0.6355242
_20151215093546_,22,0.2,0.54027385,-0.029844405,0.7688667
_20151215100607_,22,0.2,0.52140725,-0.21426268,0.7735928
_20151215094549_,22,0.2,0.72013366,-0.0974148,0.9564762
_20151215095232_,22,0.2,0.7496619,-0.1067062,0.9547294
_20151215100244_,22,0.2,0.7686482,-0.08412934,0.9552186
_20151215095548_,22,0.2,0.51936877,-0.06235663,0.7348558
_20151215094221_,22,0.2,0.4638779,-0.17756653,0.708914
_20151215094905_,22,0.2,0.6301934,-0.058110964,0.84315073
_20151215095925_,22,0.2,0.7006384,-0.123531185,0.9269723
_20151215093909_,22,0.2,0.7410722,-0.12886356,0.9538037
_20151215093632_,25,0.4,0.4466062,-0.16822532,0.6927988
_20151215100006_,25,0.4,0.7437034,-0.10627077,0.97019905
_20151215094951_,25,0.4,0.69941324,-0.1593186,0.88453037
_20151215095310_,25,0.4,0.75149196,-0.10806627,0.9632446
