file,RESULTS_HIDDEN_UNITS,SNS84,BASE-P/R/C,ADULT
_20160112165920_,22,0.6617318,-0.10670199,0.89043725
_20160112165648_,22,0.7442932,-0.13080983,0.9487661
_20160112165805_,22,0.7599461,-0.0961441,0.9630607
_20160112170158_,22,0.74724334,-0.112568066,0.95267045
_20160112165522_,22,0.7271221,-0.11818067,0.93130314
_20160112170041_,22,0.7677423,-0.12253263,0.9633001
_20160112165403_,22,0.670831,-0.105699144,0.89875054
_20160112165914_,20,0.7579524,-0.10751669,0.9562963
_20160112165638_,20,0.7237817,-0.06958338,0.93349445
_20160112165355_,20,0.740702,-0.079341285,0.95856106
_20160112165756_,20,0.74524873,-0.14728302,0.9540503
_20160112170149_,20,0.73652273,-0.10350025,0.9479558
_20160112170033_,20,0.70879656,-0.07520866,0.895474
_20160112165512_,20,0.7137811,-0.10110198,0.93523467
_20160112165832_,10,0.67541015,-0.1309747,0.88604087
_20160112165316_,10,0.69788134,-0.17562865,0.90365475
_20160112170105_,10,0.6344818,-0.09864097,0.8173715
_20160112165433_,10,0.6229862,-0.13380027,0.80394363
_20160112165551_,10,0.5631877,-0.09361345,0.7490982
_20160112165946_,10,0.6045686,-0.07601017,0.8075196
_20160112165715_,10,0.6119942,-0.09951473,0.73827475
_20160112170055_,8,0.5414547,-0.03183028,0.67340565
_20160112165423_,8,0.56093466,-0.113219775,0.7121038
_20160112165706_,8,0.54747564,-0.08579384,0.6780976
_20160112165823_,8,0.49603215,-0.02366144,0.660709
_20160112165938_,8,0.5786714,-0.1910363,0.75731593
_20160112165305_,8,0.5631358,-0.1550665,0.7026837
_20160112165540_,8,0.49139553,-0.15174033,0.6432435
_20160112165631_,18,0.7581379,-0.09273473,0.9658907
_20160112165747_,18,0.7365646,-0.10052847,0.94336367
_20160112170023_,18,0.71226645,-0.13801356,0.94113153
_20160112170142_,18,0.75363207,-0.10475545,0.96523935
_20160112165506_,18,0.7577998,-0.09626096,0.9499203
_20160112165348_,18,0.72866064,-0.116779394,0.95498955
_20160112165906_,18,0.7696648,-0.111795105,0.95712143
_20160112165858_,16,0.74876285,-0.092269674,0.93944234
_20160112165621_,16,0.5651973,-0.029358352,0.8159994
_20160112165457_,16,0.7024206,-0.118876174,0.9076952
_20160112165341_,16,0.70189327,-0.17467003,0.90319866
_20160112170132_,16,0.7270808,-0.08458278,0.92791575
_20160112165741_,16,0.7312003,-0.07840096,0.95487154
_20160112170015_,16,0.7367958,-0.08996403,0.96266645
_20160112165531_,24,0.73782045,-0.11968144,0.93287456
_20160112170207_,24,0.6890709,-0.12334429,0.90730894
_20160112165816_,24,0.7402786,-0.09044603,0.9667329
_20160112165656_,24,0.7525781,-0.11639172,0.9329297
_20160112165931_,24,0.74818677,-0.11408,0.9647899
_20160112170048_,24,0.7328014,-0.13079494,0.9553741
_20160112165413_,24,0.7255744,-0.09956572,0.9406177
_20160112165334_,14,0.6953418,-0.07457756,0.90386444
_20160112170121_,14,0.673731,-0.087388106,0.90652525
_20160112165611_,14,0.6722962,-0.081043564,0.88431835
_20160112165850_,14,0.7211607,-0.08400262,0.9435827
_20160112165731_,14,0.7071056,-0.08930808,0.9432918
_20160112170005_,14,0.70700437,-0.14515913,0.9155958
_20160112165451_,14,0.7268072,-0.08307481,0.91757077
_20160112165840_,12,0.58463013,-0.06950876,0.80021703
_20160112165443_,12,0.65524405,-0.12431443,0.8380128
_20160112165723_,12,0.6975101,-0.16175829,0.90433156
_20160112170113_,12,0.5796042,-0.05705435,0.76880515
_20160112165957_,12,0.6624728,-0.13918647,0.87317646
_20160112165324_,12,0.6896487,-0.14034468,0.8915537
_20160112165601_,12,0.6986655,-0.13165446,0.89910626
